timestamp,overall_score,neck_alignment,shoulder_level,forward_head,spine_straight,body_lean,feedback_count,has_issues
2025-06-10T20:13:30.959600,88,100,40,100,100,100,1,True
2025-06-10T20:13:30.974841,88,100,40,100,100,100,1,True
2025-06-10T20:13:31.020556,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.050631,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.096422,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.128567,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.160185,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.191755,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.238637,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.285099,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.315490,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.347235,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.377606,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.409284,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.439885,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.470693,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.500702,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.531990,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.563526,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.594391,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.640837,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.672288,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.749544,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.780696,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.811585,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.858853,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.889326,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.937445,100,100,100,100,100,100,0,False
2025-06-10T20:13:31.983554,100,100,100,100,100,100,0,False
2025-06-10T20:13:32.014156,100,100,100,100,100,100,0,False
2025-06-10T20:13:32.045111,100,100,100,100,100,100,0,False
2025-06-10T20:13:32.090188,100,100,100,100,100,100,0,False
2025-06-10T20:13:32.135860,100,100,100,100,100,100,0,False
